,Prey Population,Predator Popualtion,Food Count,Ratio
0,300.0,50.0,100.0,6.0
1,286.0,50.0,84.0,5.72
2,285.0,50.0,87.0,5.7
3,279.0,50.0,90.0,5.58
4,274.0,50.0,94.0,5.48
5,263.0,50.0,86.0,5.26
6,256.0,51.0,93.0,5.019607843137255
7,254.0,51.0,89.0,4.980392156862745
8,250.0,51.0,86.0,4.901960784313726
9,244.0,51.0,97.0,4.784313725490196
10,238.0,51.0,93.0,4.666666666666667
11,232.0,51.0,94.0,4.549019607843137
12,231.0,52.0,94.0,4.4423076923076925
13,226.0,52.0,95.0,4.346153846153846
14,221.0,52.0,92.0,4.25
15,216.0,52.0,93.0,4.153846153846154
16,210.0,52.0,94.0,4.038461538461538
17,204.0,52.0,93.0,3.923076923076923
18,195.0,53.0,94.0,3.6792452830188678
19,192.0,53.0,93.0,3.6226415094339623
20,189.0,53.0,94.0,3.5660377358490565
21,187.0,53.0,92.0,3.5283018867924527
22,182.0,53.0,95.0,3.4339622641509435
23,178.0,53.0,95.0,3.358490566037736
24,176.0,54.0,95.0,3.259259259259259
25,171.0,54.0,94.0,3.1666666666666665
26,164.0,54.0,90.0,3.037037037037037
27,159.0,54.0,94.0,2.9444444444444446
28,156.0,54.0,96.0,2.888888888888889
29,153.0,54.0,97.0,2.8333333333333335
30,150.0,55.0,95.0,2.727272727272727
31,151.0,55.0,98.0,2.7454545454545456
32,148.0,55.0,95.0,2.690909090909091
33,145.0,55.0,94.0,2.6363636363636362
34,141.0,55.0,95.0,2.5636363636363635
35,138.0,55.0,97.0,2.5090909090909093
36,137.0,55.0,96.0,2.4909090909090907
37,133.0,55.0,95.0,2.418181818181818
38,129.0,55.0,97.0,2.3454545454545452
39,127.0,55.0,95.0,2.309090909090909
40,126.0,55.0,96.0,2.290909090909091
41,122.0,55.0,96.0,2.2181818181818183
42,120.0,55.0,94.0,2.1818181818181817
43,117.0,55.0,95.0,2.1272727272727274
44,115.0,55.0,98.0,2.090909090909091
